zip,Zipcode name,City,State,County Name
31001,"ABBEVILLE, GA",ABBEVILLE,GA,WILCOX
30102,"ACWORTH, GA",ACWORTH,GA,CHEROKEE
30101,"ACWORTH, GA",ACWORTH,GA,COBB
30103,"ADAIRSVILLE, GA",ADAIRSVILLE,GA,BARTOW
31620,"ADEL, GA",ADEL,GA,COOK
31002,"ADRIAN, GA",ADRIAN,GA,EMANUEL
30410,"AILEY, GA",AILEY,GA,MONTGOMERY
30411,"ALAMO, GA",ALAMO,GA,WHEELER
31622,"ALAPAHA, GA",ALAPAHA,GA,BERRIEN
31701,"ALBANY, GA",ALBANY,GA,DOUGHERTY
31702,"ALBANY, GA",ALBANY,GA,DOUGHERTY
31703,"ALBANY, GA",ALBANY,GA,DOUGHERTY
31704,"ALBANY, GA",ALBANY,GA,DOUGHERTY
31705,"ALBANY, GA",ALBANY,GA,DOUGHERTY
31706,"ALBANY, GA",ALBANY,GA,DOUGHERTY
31707,"ALBANY, GA",ALBANY,GA,DOUGHERTY
31708,"ALBANY, GA",ALBANY,GA,DOUGHERTY
31721,"ALBANY, GA",ALBANY,GA,DOUGHERTY
31301,"ALLENHURST, GA",ALLENHURST,GA,LIBERTY
31003,"ALLENTOWN, GA",ALLENTOWN,GA,WILKINSON
31510,"ALMA, GA",ALMA,GA,BACON
30004,"ALPHARETTA, GA",ALPHARETTA,GA,FULTON
30005,"ALPHARETTA, GA",ALPHARETTA,GA,FULTON
30009,"ALPHARETTA, GA",ALPHARETTA,GA,FULTON
30022,"ALPHARETTA, GA",ALPHARETTA,GA,FULTON
30023,"ALPHARETTA, GA",ALPHARETTA,GA,FULTON
30412,"ALSTON, GA",ALSTON,GA,MONTGOMERY
30510,"ALTO, GA",ALTO,GA,HABERSHAM
31512,"AMBROSE, GA",AMBROSE,GA,COFFEE
31709,"AMERICUS, GA",AMERICUS,GA,SUMTER
31719,"AMERICUS, GA",AMERICUS,GA,SUMTER
31711,"ANDERSONVILLE, GA",ANDERSONVILLE,GA,SUMTER
30802,"APPLING, GA",APPLING,GA,COLUMBIA
31712,"ARABI, GA",ARABI,GA,CRISP
30104,"ARAGON, GA",ARAGON,GA,POLK
31623,"ARGYLE, GA",ARGYLE,GA,CLINCH
39813,"ARLINGTON, GA",ARLINGTON,GA,CALHOUN
